step,cefr_level,grammar_category,sub_category,guideword,learning_objective,example_sentence,lexical_range
509,B1,FOCUS,focus,FORM/USE: 'IT' + 'BE' ADJECTIVE + 'THAT' CLAUSE,Can use 'it' + 'be' + adjective + 'that-'clause for focus.,It's great that you have got a new job!,
510,B1,FUTURE,future continuous,FORM: AFFIRMATIVE,Can use the affirmative form with 'will' and 'shall'.,"However, I shall be attending class the day after tomorrow and I shall cover the work I miss by copying it from John.",
511,B1,FUTURE,future continuous,FORM: NEGATIVE WITH 'WILL',Can use the negative form with 'will' ('won’t').,I would like you to know that I won't be attending your English class next week.,
512,B1,FUTURE,future in the past,USE: 'BE GOING TO',Can use the simple past form of 'be' + 'going to' to talk about the future from a point in the past. ► 'be going to',"She was going to return it but she saw something very strange, her number was on the screen.",
513,B1,FUTURE,future in the past,USE: 'WOULD' ,Can use 'would' to talk about the future from a point in the past.► 'would',"I've just bought a new dress, and a beautiful black T-shirt. When I saw them, I thought they would be great for tonight's party.",
514,B1,FUTURE,future simple (with will and shall),USE:IMMEDIATE PLANS WITH 'SHALL',Can use 'shall' with 'I' and 'we' to talk about plans and intentions.,I promise that I shall cover all the work and give it to you tomorrow.,
515,B1,FUTURE,future simple (with will and shall),USE: PREDICTIONS WITH 'WILL' ,Can use 'will' and '‘ll' to make predictions.,It will be hotter because of global warming.,
516,B1,FUTURE,future simple (with will and shall),USE: FIXED PLANS WITH 'WILL',"Can use 'will' to talk about fixed plans, often with timetabled times and dates.",The work will start at 8 a.m. and finish at 2 p.m. The new schedule starts on 1 June.,
517,B1,FUTURE,future with be going to,FORM: NEGATIVE,Can use the negative form.,I am not going to go to school tomorrow.,
518,B1,FUTURE,future with be going to,FORM: PAST,Can use the past form of 'be' + 'going to'. ► future in the past,"When we realized it was going to be an extremely hot day, we took water.",
519,B1,FUTURE,future with be going to,FORM: WITH ADVERBS,"Can use 'be' + 'going to' with a limited range of adverbs, after the auxiliary be form, in the normal mid position.",I know that I 'm never going to forget this moment.,1.0
520,B1,FUTURE,future with be going to,USE: INTENTIONS,Can use the negative form of 'be going to' to talk about plans and intentions.,"I 'm not going to be able to meet you next Tuesday, because I have to go to the dentist at 5.30.",
521,B1,FUTURE,future with be going to,USE: FUTURE IN THE PAST ,Can use the past form of 'be going to' to refer to the future from a point in the past. ► future in the past,She didn't know what was going to happen.,
522,B1,FUTURE,future with be going to,USE: REPORTING,Can use the past form of 'be going to' as the reported form.► reported speech,"Fortunately, he was told his boss was going to be a bit late, so he had some time to go back home.",
523,B1,FUTURE,future with be going to,USE: PREDICTIONS ,Can use 'be going to' with an increasing range of verbs to make predictions.,I think you're going to like it.,2.0
524,B1,FUTURE,future with be going to,USE: PLANS IN THE PAST,"Can use the past form of 'be going to' (often followed by 'but') to talk about a plan, sometimes one that may have changed.",We were going to get married two months ago but we broke up and I really didn't know why.,
525,B1,FUTURE,present continuous for future use,USE: FUTURE ARRANGEMENTS,Can use the present continuous with an increasing range of verbs to talk about future arrangements.,I’m attending my grandmother’s funeral tomorrow.,2.0
526,B1,FUTURE,present continuous for future use,USE: QUESTIONS ABOUT THE FUTURE,Can use the present continuous with an increasing range of verbs to ask about future plans.,Are you visiting my country on your next holiday?,2.0
527,B1,FUTURE,present simple for future use,FORM: WITH 'AS SOON AS',Can use the present simple with 'as soon as' to refer to the future.,I'm planning to move as soon as I finish college because job opportunities in my area aren't good.,
528,B1,MODALITY,adjectives,FORM: 'IT' + 'BE' + 'IMPORTANT' + CLAUSE ,Can use 'it' + 'be' + 'important' + ('that') clause.,It's important that you take breaks and don't work all the time.,
529,B1,MODALITY,adjectives,"FORM/USE: 'IF'-CLAUSE + 'POSSIBLE', POLITENESS","Can use 'if-' clauses + 'possible', as a politeness strategy.",If it is possible I would like to pay by credit card.,
530,B1,MODALITY,adjectives,"FORM/USE: 'IT' + 'BE' + ADJECTIVE + INFINITIVE, HEDGING, EMPHASIS","Can use 'it' + 'be' + adjective + 'to' + infinitive, to make an assertion more or less direct.","Our sales department staff are heavily involved in several international projects, so it is necessary to improve their foreign language skills.",
531,B1,MODALITY,adjectives,FORM: 'IT' + 'BE' + ADJECTIVE + 'FOR' + OBJECT + INFINITIVE,Can use 'it' + 'be' + adjective + 'for' + object + 'to' + infinitive.,"If you have to choose between two schools, I think it's important for you to know what they’re like.",
532,B1,MODALITY,adverbs,FORM/USE: EMPHASIS,"Can use an increasing range of adverbs, for emphasis.",If I were you I'd certainly choose not to go with your parents.,
533,B1,MODALITY,adverbs,"FORM/USE: MODAL VERB + MODAL ADVERB, HEDGING OR EMPHASIS","Can use modal verb + modal adverb to modify an assertion, either through hedging or emphasis.",Next year you can surely go somewhere with your friends.,
534,B1,MODALITY,adverbs,"FORM/USE, 'POSSIBLY', POLITENESS",Can use 'could' + subject + 'possibly' to make requests more polite.,Could I possibly see you at 3.30?,
535,B1,MODALITY,can,FORM: NEGATIVE QUESTIONS,Can use the negative question forms in main clauses and question tags.,Can't you go with your parents some time and with your friends later?,
536,B1,MODALITY,can,FORM: WITH ADVERBS,"Can use 'can' with a limited range of adverbs (including 'also', 'always', 'even', 'just', 'only', 'really', 'still') in the normal mid position after the modal verb.   ► adverbs",You can also write postcards and letters to your friends.,1.0
537,B1,MODALITY,can,USE: GENERAL TRUTHS AND TENDENCIES,Can use 'can be' to talk about general truths and tendencies.,… spending an entire summer without your friends can be very boring.,
538,B1,MODALITY,can,USE: SURPRISE,Can use 'can you believe' to express surprise.,"They invented a robot which plays football, can you believe this?",
539,B1,MODALITY,could,USE: ABILITY,Can use the affirmative form of 'could' to talk about ability.,"… she could hear a man talking, he was giving her orders…",
540,B1,MODALITY,could,USE: PERMISSION,Can use 'could I' to seek permission.,I am in the basketball team of my school and tomorrow there is an important game. Could I take the class that I will miss on Saturday?,
541,B1,MODALITY,could,USE: POSSIBILITY,Can use 'could' to talk about possibility.,"But believe me, it could be really fun to have a talkative person as your friend, he or she will give you good laugh at anytime!",
542,B1,MODALITY,could,USE: SUGGESTIONS,Can use 'could' with an increasing range of verbs to make suggestions.,…you could become a member of a gym.,2.0
543,B1,MODALITY,expressions with be,FORM: MODAL WITH 'BE ABLE TO',Can use a range of modal verbs + 'be able to' + infinitive.,"After finishing school, you might be able to hang out with your friends.",
544,B1,MODALITY,expressions with be,"USE: 'BE ALLOWED TO', PERMISSION",Can use 'be allowed to' to talk about permission.,My mother went with me on this trip because I wasn't allowed to go by myself.,
545,B1,MODALITY,expressions with be,FORM: 'BE' EXPRESSIONS,"Can use a limited range of expressions with 'be' + infinitive ('be allowed to', 'be supposed to', 'be able to') with present and past forms of 'be' and with modal 'will'.","First of all, if you are allowed to go out of the building in your break, you should do it.",1.0
546,B1,MODALITY,expressions with be,"USE: 'BE SUPPOSED TO', PAST EXPECTATION","Can use 'was supposed to', 'were supposed to' to refer to past or future arrangements which may not have happened or may change.","I am really sorry, but I will have to make some changes to my trip. I was supposed to arrive on 11th June 2003, but I will arrive the next month.",
547,B1,MODALITY,expressions with be,"USE: 'BE ABLE TO', PAST","Can use 'was able to', 'were able to' to talk about facts in the past.",[about a bus journey] She was able to get a good seat and she unexpectedly got to school early.,
548,B1,MODALITY,have (got) to,FORM/USE: 'I HAVE TO ADMIT',Can use the fixed expression 'I have to admit' for emphasis.,"I have to admit that I watch a lot of TV, specially movies and soap operas, I love them.",
549,B1,MODALITY,have (got) to,FORM: INFINITIVE ,Can use 'have to' as an infinitive form.,I am going to have to buy new curtains.,
550,B1,MODALITY,may,FORM: WITH ADVERBS ,Can use 'may' with a limited range of adverbs (most commonly 'also') in the normal mid-position after the modal verb. ► adverbs,I may also ask you for another favour....,1.0
551,B1,MODALITY,may,FORM: NEGATIVE,Can use the negative form.,I knew I may not meet him again.,
552,B1,MODALITY,may,FORM: QUESTIONS,Can use the question form with 'I'.,May I give you a short presentation on 17th December?,
553,B1,MODALITY,may,USE: PERMISSION,Can use 'may I' to ask for permission.,May I be your guide while you stay here?,
554,B1,MODALITY,might,USE: SUGGESTIONS,Can use 'might' to make polite suggestions and give advice.,"The park is a great place for picnic. It has lots of trees, a beautiful view and fresh air. You might need to bring some food and drink.",
555,B1,MODALITY,might,USE: POSSIBILITY IN THE PAST,Can use 'might have' + '-ed' to talk about possibility with a past reference.,Many things might have led to these changes.,
556,B1,MODALITY,might,FORM: PAST AFFIRMATIVE,Can use 'might have' + '-ed'.,[talking about an unusual sound] It might have been our neighbours' cat.,
557,B1,MODALITY,might,USE: REPORTED SPEECH,Can use 'might' as the past form of 'may' in indirect reports.,… my parents said it might be the last holiday where we are all together.,
558,B1,MODALITY,might,FORM: NEGATIVE,Can use the negative form.,"I like to wear a shirt and pants. It might not be very fashionable, it might look simple, but that's the way I like it.",
559,B1,MODALITY,might,USE: FOCUS,"Can use 'might' in phrases, such as 'as you might know', 'have already heard', to focus the reader on shared knowledge.","As you might know, nobody came here until Wednesday afternoon.",
560,B1,MODALITY,must,USE: INVITATIONS,Can use 'must' to make invitations.,You must come and stay in our house too.,
561,B1,MODALITY,must,FORM: WITH ADVERBS,Can use 'must' with a limited range of adverbs (most commonly 'also') in the normal mid position after the modal verb. ► adverbs,I must also do the FCE practice test because I will have the FCE test soon.,1.0
562,B1,MODALITY,must,FORM: ELLIPSIS,Can use ellipted 'must' without a subject. ► ellipsis,[at the end of a letter] Must go now.,
563,B1,MODALITY,must,FORM: ELLIPSIS,Can use 'must' with the following verb ellipted where the previous main verb is understood.    ► ellipsis,You must! It's amazing!,
564,B1,MODALITY,must,USE: DEDUCTIONS AND CONCLUSIONS,"Can use 'must' to guess and deduce, most commonly with 'it must be', or 'you must be'.","Second, it must be boring for you to sit at a computer all day.",
565,B1,MODALITY,must,USE: OBLIGATION AND NECESSITY,Can use 'must' (with a wide range of pronouns and nouns) to talk about obligation and necessity.,[talking about something the speaker has found] She took it and said we must go and find him.,3.0
566,B1,MODALITY,must,USE: SUGGESTIONS,"Can use 'must' to make strong, encouraging suggestions.",This club has been opened for just two weeks. I mean we must see it.,
567,B1,MODALITY,ought,FORM: AFFIRMATIVE,Can use the affirmative form.,I think you ought to go on holiday with both of them.,
568,B1,MODALITY,ought,USE: ADVICE,Can use 'ought to' with 'you' to give advice.,"Then, if you'd rather go with your friend, you ought to talk to your parents first, and tell them what you think about it.",
569,B1,MODALITY,shall,USE: PLANS AND INTENTIONS,"Can use 'shall' to talk about plans and intentions, particularly in formal contexts.",I promise that I shall cover all the work and give it to you tomorrow.,
570,B1,MODALITY,shall,USE: SEEKING ADVICE,Can use 'shall' to seek advice.,What shall I buy for her wedding?,
571,B1,MODALITY,should,FORM: PAST NEGATIVE,Can use 'should have' + '-ed'.,I have an appointment. I know I shouldn't have taken it during school time but I had no other choice.,
572,B1,MODALITY,should,FORM: PAST AFFIRMATIVE,Can use 'should' have + '-ed'.,You should have been with us.,
573,B1,MODALITY,should,FORM/USE: QUESTION TAGS,Can use the question tag form 'shouldn't' + pronoun to make suggestions and ask for opinions.,"When you come back, we should rent some movies, shouldn't we?",
574,B1,MODALITY,should,USE: LIKELIHOOD,Can use 'should' to talk about what is likely to happen.,[talking about an event] It should be a good day!,
575,B1,MODALITY,should,USE: IDEAL OR DESIRED SITUATIONS,Can use 'should' to talk about ideal or desired situations.,British people should eat more vegetables and fruit and avoid fast food!,
576,B1,MODALITY,should,USE: THANKING,Can use 'you shouldn’t have' (+ '-ed') in polite acceptance of a gift.,"Thank you for the present you sent me, you shouldn't have!",
577,B1,MODALITY,should,USE: NARRATIVE DEVICE,Can use 'you should have' + '-ed' to emphasise points in a story.,You should have heard the noise.,
578,B1,MODALITY,should,USE: REGRET,Can use 'should have' + '-ed' to talk about regrets or undesirable situations in the past.,"You should have been there with me, I had a great time.",
579,B1,MODALITY,used to,USE: NO LONGER TRUE,Can use 'used to' to talk about repeated actions or states in the past that are no longer true.,"When I was I child, I used to go to a small school and I enjoyed it very much.",
580,B1,MODALITY,used to,FORM: AFFIRMATIVE|,Can use the affirmative form.,I used to share my room with my brother.,
581,B1,MODALITY,used to,FORM: NEGATIVE,Can use the negative forms 'didn't use to' and 'didn't used to'.,We didn't use to talk to each other.,
582,B1,MODALITY,will,USE: FIXED PLANS,"Can use 'will' to talk about fixed plans in the future, often with timetabled times or dates.","Mr Miller, the Sales Director, will visit us next Thursday.",
583,B1,MODALITY,will,USE: PREDICTIONS,Can use 'will' to make predictions.► question tags,"I think that in 20 years' time it will be bigger than it is, because my town is growing very fast.",
584,B1,MODALITY,would,FORM: PAST NEGATIVE,Can use 'would not have' + '-ed' or 'wouldn’t have' + '-ed',"Without your help, I wouldn't have got this result.",
585,B1,MODALITY,would,FORM: PAST AFFIRMATIVE,Can use 'would have' + '-ed'.,I did not think my friend Janis would have done that.,
586,B1,MODALITY,would,FORM/USE: AFTER 'IF' CLAUSES,"Can use 'would' in the main clause of a conditional sentence to talk about an imagined situation, often in the context of advice or opinion-giving.","It's your decision but if I had the chance, I would go with my friends.",
587,B1,MODALITY,would,USE: FUTURE IN THE PAST,Can use 'would' to talk about the future in the past.,"I've just bought a new dress, and a beautiful black T-shirt. When I saw them, I thought they would be great for tonight's party.",
588,B1,MODALITY,would,FORM: WITH ADVERBS,"Can use an limited range of adverbs with 'would', including 'really', 'probably', 'certainly', 'definitely'.► adverbs","I hope you will come soon, and I think that you would really enjoy it because is something different of what you are used to.",1.0
589,B1,MODALITY,would,FORM: QUESTIONS,Can use question forms.,Would you let me know what you think?,
590,B1,MODALITY,would,USE: POLITE REQUESTS,"Can use 'would' to make polite requests, often in the fixed expression 'would you mind'.","Would you tell me about your room in your next letter, please?",
591,B1,MODALITY,would,USE: INDIRECTNESS,"Can use 'would' with verbs such as 'advise', 'imagine', 'recommend', 'say' to be less direct.",I'd advise you to go with your friends because I bet you'll have so much fun!,
592,B1,MODALITY,would,USE: IMAGINED SITUATIONS IN THE PAST,Can use 'would' to talk about imagined situations in the past. ► conditionals,The next week I would have flown to Miami to meet George Clooney.,
593,B1,MODALITY,would,USE: REPORTED SPEECH,Can use 'would' as the past form of 'will' in reported clauses.,She accepted the invitation and she said that she would come on the 21st of June.,
594,B1,MODALITY,would,USE: WILLINGNESS IN THE PAST,Can use the negative forms of 'would' to talk about willingness in the past.,We had to leave without you because the bus driver wouldn't wait.,
595,B1,NEGATION,negation,"FORM: AUXILIARY VERBS 'BE', 'HAVE', PAST",Can form negative statements of main verbs in the past continuous and past perfect with auxiliary verbs 'be' and 'have' + 'not/n't'. ► past continuous ► past perfect,It was raining for seventy two hours and it wasn't going to stop.,
596,B1,NEGATION,negation,FORM: QUESTIONS,Can use negative question forms in main clauses and question tags. ► questions,Can't you go with your parents some time and with your friends later?,
597,B1,NEGATION,negation,FORM: MENTAL PROCESS VERBS + CLAUSE,"Can use the negative forms of mental process verbs ('I don’t think', 'I don’t believe') followed by a complement clause, where the negative form is in the mental process verb rather than the complement clause.",But I don't think it'll help you.,
598,B1,NEGATION,negation,"FORM: 'NOT', NON FINITE AND ELLIPTED CLAUSES",Can use 'not' before a non-finite or ellipted clause.,"But every time a small envelope arrived, I ripped it open as fast as I could. Not this time.",
599,B1,NEGATION,negation,USE: SEEKING AGREEMENT,Can use negative questions and question tags to involve the listener/reader by seeking agreement or checking something.,Isn't it marvellous?,
600,B1,NEGATION,negation,FORM: PRONOUNS,Can use an increasing range of indefinite pronouns in negative contexts.,"I said I had nothing, but he didn't believe me.",2.0
601,B1,NEGATION,negation,FORM: ADVERBS,"Can use adverbs 'ever', 'never', 'yet', 'still' in negative contexts.",Nobody will ever know who that man was.,
602,B1,NOUNS,noun phrases,FORM: COMPLEX NOUN PHRASES WITH ADVERBS + ADJECTIVES,Can form complex noun phrases with adverb + adjective + noun.,It took us a very long time but it was a great fun!,
603,B1,NOUNS,noun phrases,FORM: NOUN + PREPOSITIONAL PHRASES ,Can form complex noun phrases by using a prepositional phrase after the main noun in a noun phrase.,It was a beautiful red dress with blue flowers on the back.,
604,B1,NOUNS,noun phrases,FORM: COMPLEX NOUN PHRASES WITH ADJECTIVES,Can form an increasing range of complex noun phrases with more than one adjective.,The Northeast is so beautiful and it's famous because of its white sandy beaches and the coconut trees.,2.0
605,B1,NOUNS,noun phrases,FORM/USE: 'SUCH (A)' + ADJECTIVE + NOUN,"Can form noun phrases with 'such a' + adjective + singular noun and 'such' + adjective + plural noun, to give emphasis.",It was so terrible because I've never been in such a terrible situation.,
606,B1,NOUNS,noun phrases,FORM/USE: NOUN PHRASES WITH SUPERLATIVES,"Can use a clause with a present perfect or past perfect as a superlative noun phrase complement, to talk about uniqueness.",It has the best promenade I have seen.,
607,B1,NOUNS,noun phrases,FORM/USE: POSSESSIVE '‘S' WITHOUT NOUN ,Can omit the noun after possessive '’s' to talk about a place which is familiar to the speaker and listener.,Last week I left my clothes at the dry cleaner's and I can't collect them.,
608,B1,NOUNS,noun phrases,"FORM: NOUN PHRASE, NOUN PHRASE ","Can put two noun phrases together (in apposition) to refer to the same person or thing, usually separated by commas.","Mr Miller, the Sales Director, will visit us next Thursday.",
609,B1,NOUNS,noun phrases,FORM/USE: 'THE THING …',"Can use the noun phrase 'The thing' in front position, with a clause complement, to give focus to something.",The thing I enjoyed most about it was a new computer game. (Georgia (Republic of); B1 THRESHOLD; 2007; Georgian; Pass),
610,B1,NOUNS,noun phrases,FORM: COMPLEX NOUN PHRASE WITH POSSESSIVE '‘S' + NOUN,Can form complex noun phrases with noun phrase + 'of' + noun phrase + possessive determiner ''s' + noun phrase.,I ran to the street and I saw the window of my neighbour's car was broken.,
611,B1,NOUNS,noun phrases,FORM: INDEFINITE PRONOUNS ,Can form noun phrases with an indefinite pronoun + adjective or clause.,We see each other every day and do something different every day.,
612,B1,NOUNS,noun phrases,FORM: FRIEND + 'OF' + POSSESSIVE DETERMINER + NOUN ,Can form noun phrases with 'a friend of' or 'friends of' + possessive determiner + noun.,He is a friend of my husband.,
613,B1,NOUNS,noun phrases,FORM: NOUN + 'OF' + POSSESSIVE PRONOUN ,Can form noun phrases with noun + 'of' + possessive pronouns.,… we always did everything together and couldn't stop laughing as she told me many funny stories and I told her lots of silly mistakes of mine.,
614,B1,NOUNS,plural,FORM: COLLECTIVE NOUNS,"Can use collective nouns, usually with a singular verb, but also with a plural verb depending on whether the noun is perceived as a single group or collection of individuals.",The staff is friendly and polite with guests and there are many sports activities.,
615,B1,NOUNS,types,FORM: COMMON NOUNS,Can use an increasing range of common nouns.,When you're swimming you exercise all of your body.,2.0
616,B1,NOUNS,uncountable,"FORM: WITH DETERMINERS, QUANTITY","Can use uncountable nouns with an increasing range of quantity words and phrases including 'much', 'a bit of', 'a little bit of', 'enough', 'further', 'plenty of', 'loads of'.  ►  Determiners: quantity","I'm sure that your parents are looking forward to going with you to the beach, because they work a lot of hours during the year so they can't spend much time with you.",2.0
617,B1,NOUNS,uncountable,FORM: UNCOUNTABLE NOUNS,Can use an increasing range of uncountable nouns.,"I think the countryside is better than the town centre, people get on more easily with each other.",2.0
618,B1,PASSIVES,get and have,FORM: 'GET' + '-ED',Can form the 'get'-passive with a range of forms of 'get' + past participles.,"[talking about a mirror] I bought it because mine got broken, so I need it to see myself in it.",1.0
619,B1,PASSIVES,passives: form,FORM/USE: WITH 'BY' IN A RELATIVE CLAUSE|,"Can use the passive with 'by' in a relative clause, often to add more information.",I also like wearing clothes which are manufactured by famous brands.,
620,B1,PASSIVES,passives: form,"FORM: PRESENT SIMPLE, AFFIRMATIVE ",Can use the present simple passive affirmative with a range of pronoun and noun subjects.,Our office is situated near the airport.,
621,B1,PASSIVES,passives: form,"FORM: PAST SIMPLE, AFFIRMATIVE",Can use the past simple passive affirmative with a range of pronoun and noun subjects both singular and plural.,It was written in a strange language that I tried to translate.,
622,B1,PASSIVES,passives: form,"FORM: PRESENT CONTINUOUS, AFFIRMATIVE ",Can use the present continuous passive affirmative with a limited range of verbs.,Did you know that the next Harry Potter movie is being filmed in my school?,1.0
623,B1,PASSIVES,passives: form,FORM: INFINITIVE ,"Can use the passive infinitive after a limited number of forms including 'going to', 'have to', 'need to', 'want to'.",It is going to be shown this Friday.,1.0
624,B1,PASSIVES,passives: form,"USE: PRESENT CONTINUOUS, FUTURE REFERENCE",Can use the present continuous passive to refer to the future.,The seminar is being held at Chennai in the next week.,
625,B1,PASSIVES,passives: form,USE: GIVING FOCUS WITH 'BY',Can use the passive with 'by' to give focus.,My school was chosen by the TV company because it is one of the newest in town.,
626,B1,PASSIVES,passives: form,FORM: WITH VERBS TAKING TWO OBJECTS.,"Can use the past simple passive with a limited range of verbs needing two objects, putting the indirect object in subject position.","So I was given a ticket for a train, running from Berlin to Munich.",1.0
627,B1,PASSIVES,passives: form,"FORM: PRESENT SIMPLE, NEGATIVE",Can use the present simple passive negative with a range of pronoun and noun subjects.,"The story is about a girl, who is not accepted in her class.",
628,B1,PAST,past continuous,FORM: QUESTIONS,Can use the question form.,Was my mother going to die?,
629,B1,PAST,past continuous,FORM: WITH ADVERBS,Can use the past continuous with an increasing range of adverbs in the normal mid position.,He was still waiting at the traffic light.,2.0
630,B1,PAST,past continuous,USE: REASON ,"Can use the past continuous to give a reason for something, often with 'because'.","Because she was sitting in the corner, she could see the whole view of the café in front of her.",
631,B1,PAST,past continuous,FORM: NEGATIVE,Can use the negative form.,He was not planning to become a professional player.,
632,B1,PAST,past continuous,USE: REPEATED EVENTS,"Can use the past continuous to talk about ongoing repeated events in the past, often with 'always'.","Worst of all, in September it was always raining.",
633,B1,PAST,past perfect continuous,USE: BACKGROUND EVENTS ,Can use the past perfect continuous talk about a background action or event which began before a point in the past and was still continuing up to a point in the past when the main event happened.,"I had been waiting for this letter for months, so I opened it immediately.",
634,B1,PAST,past perfect continuous,FORM: AFFIRMATIVE,Can use the affirmative form.,I had been working on the project for over a year.,
635,B1,PAST,past perfect continuous,USE: CONTINUING EVENTS IN THE PAST,"Can use the past perfect continuous to talk about an action or event which began before a point in the past and was still continuing up to that point, often with 'for' or 'since', to give background information.",I know it very well because we had been exchanging letters for a long time.,
636,B1,PAST,past perfect simple,FORM: NEGATIVE,Can use negative forms.,The ABC Company called this morning to say that our company had not delivered the goods on time.,
637,B1,PAST,past perfect simple,FORM: AFFIRMATIVE ,Can use the affirmative form.,I felt really sorry for you after I had read your last letter.,
638,B1,PAST,past perfect simple,FORM: WITH ADVERBS ,"Can use the past perfect simple with a limited range of adverbs (including 'never', 'ever', 'just', 'always', 'already') in the normal mid-position. ► adverbs",It was the most beautiful one I had ever seen.,1.0
639,B1,PAST,past perfect simple,FORM/USE: AFTER 'IF' CLAUSES ,"Can use the past perfect simple in 'if'-clauses to talk about imagined situations in the past, often with regret. ► 'if'-clauses","If the weather had been better, we would have enjoyed it more.",
640,B1,PAST,past perfect simple,USE: TIME UP TO THEN,Can use the past perfect simple to talk about a time before another time in the past.,He then thought how stupid he had been.,
641,B1,PAST,past simple,FORM: AFFIRMATIVE,Can use the affirmative form with a wide range of verbs.,I convinced some of my friends to come with me even if they don't like rap music.,3.0
642,B1,PAST,past simple,FORM: NEGATIVE,Can use the negative form with an increasing range of verbs.,I didn't realise I had lost the ring till I was at home.,2.0
643,B1,PAST,past simple,USE: HABITUAL STATES OR ACTIONS,Can use the past simple to talk about habitual states or actions.,… he always seemed so confident to me!,
644,B1,PAST,past simple,USE: ORDERING OF PAST EVENTS,"Can use the past simple to order sequences of events in the past, in the context of narratives.","I remember her as a shy girl, but I read she became a manager, she went on lots of trips, she met a lot of new friends, she got married and then she got divorced.",
645,B1,PAST,past simple,USE: REGRET,Can use the past simple with 'wish (that)' to express regret that things are not different.,"I wish that you were here, cycling with us.",
646,B1,PAST,past simple,USE: IMAGINED SITUATIONS AFTER 'IF',Can use the past simple after 'if' to talk about the possible result of an imagined situation in the present or future.,It would be better if you spent some time in the fresh air with your friends or walking in a park.,
647,B1,PAST,past simple,FORM: QUESTIONS  ,"Can use 'yes/no', 'wh-', tag and negative question forms with a limited range of verbs.",Did you receive my present?,1.0
648,B1,PAST,present perfect continuous,FORM: QUESTIONS,Can use the question form with a limited range of verbs.,Have you been thinking about it a lot?!,1.0
649,B1,PAST,present perfect continuous,USE: REPEATED CONTINUING EVENTS,Can use the present perfect continuous to talk about repeated activities which began in the past and are still continuing.,"I've been watching TV a lot, specially the sports programmes.",
650,B1,PAST,present perfect continuous,FORM: AFFIRMATIVE,Can use the affirmative form.,I have been thinking about your letter.,
651,B1,PAST,present perfect continuous,USE: SINGLE CONTINUING EVENT,"Can use the present perfect continuous to talk about a single activity or state that began in the past and is still continuing, often with 'for' or 'since'.",I've been studying International business there for four years.,
652,B1,PAST,present perfect simple,FORM/USE: WITH 'ALREADY',"Can use the present perfect simple with 'already' to emphasise that something is done, often before the expected time.  ► adverbs","I've already planned the party, bought his present, and most important of all, I 've already told everyone.",
653,B1,PAST,present perfect simple,FORM: AFFIRMATIVE,Can use the affirmative forms with a range of pronouns and nouns and an increasing range of verbs.,"I've left some clothes at the dry cleaner's 100 yards from my home, in Park Street.",2.0
654,B1,PAST,present perfect simple,FORM: NEGATIVE,Can use the negative forms with a range of pronouns and an increasing range of verbs.,He hasn't spoken to anyone from that time till now.,2.0
655,B1,PAST,present perfect simple,FORM/USE: DURATION WITH 'SINCE',Can use the present perfect simple with 'since' to talk about duration.,I have been here since August 2006.,
656,B1,PAST,present perfect simple,FORM: NEGATIVE QUESTIONS,Can use the negative question form.,Haven't you seen it yet?,
657,B1,PAST,present perfect simple,USE: RECENT PAST,"Can use the present perfect simple to refer to a finished event or state in the recent past, that has a present relevance, often with 'just'.  ► adverbs",My mother has broken her right leg.,
658,B1,PAST,present perfect simple,FORM: WITH ADVERBS,Can use the present perfect simple with an increasing range of adverbs in the normal mid position.,"This is a famous seafood restaurant, you know, I've always loved seafood.",2.0
659,B1,PAST,present perfect simple,USE: UNFINISHED ,Can use the present perfect simple to refer to a state or period of time which is unlimited or indefinite.,"In spite of bad weather forecasts on TV, it has been a sunny, warm weekend.",
660,B1,PAST,present perfect simple,USE: WITH SUPERLATIVE ,Can use the present perfect simple with a superlative adjective to talk about a unique experience.  ► adjectives: superlatives,This restaurant has the most delicious shrimps I have ever tasted.,
661,B1,PREPOSITIONS,prepostions,FORM: SIMPLE,Can use a wide range of simple (single word) prepositions.,"If it is raining, the rain enters through the holes in the roof and makes the house wet.",3.0
662,B1,PREPOSITIONS,prepostions,FORM: STRANDING,"Can end a reported question clause and a relative clause with a preposition, where the preposition is stranded from its complement. ► Clauses: relative",So this is the best festival I been to.,
663,B1,PREPOSITIONS,prepostions,FORM: COMPLEX,Can use an increasing range of complex prepositions.,My parents weren't happy when they heard that I wanted to go to Croatia with my friends instead of flying to the USA.,2.0
664,B1,PREPOSITIONS,prepostions,FORM: 'ADVERB' + PREPOSITION,Can use adverbs of degree to modify prepositions and prepositional phrases.,It's quite near my house so I can go there easily.,
665,B1,PRESENT,present continuous,USE: TEMPORARY REPEATED ACTIONS,Can use the present continuous to describe temporary actions which are repeated or regular.,I'm doing a lot of great leisure activities.,
666,B1,PRESENT,present continuous,USE: TEMPORARY SITUATIONS,Can use the present continuous with a wide range of verbs to talk about temporary situations.,"I'm enjoying a sunny day, much better than England.",3.0
667,B1,PRESENT,present continuous,USE: EVENTS IN PROGRESS,Can use the present continuous with a wide range of verbs to talk about situations and events in progress.,I’m planning a picnic on Saturday in the park.,3.0
668,B1,PRESENT,present simple,FORM/USE: NEGATIVE TAG QUESTIONS,Can use 'don't you think' or 'don't you agree' to look for agreement or an opinion.,"It's a bit strange, don't you think?",
669,B1,PRESENT,present simple,FORM: QUESTIONS,Can use 'yes/no' and 'wh-' question forms with a wide range of subjects.,Does your brother go with your parents?,
